Id_Athlete,Athlete,Gender,Medal
,"PAROCHE, Achille",Men,Silver
,TRINITE,Men,Silver
,"STÄHELI, Konrad",Men,Bronze
,"RÖDERER, Karl Konrad",Men,Gold
,"PAROCHE, Achille",Men,Silver
,"ÖSTMO, Ole",Men,Bronze
,"VAN ASBROECK, Paul",Men,Bronze
,"KELLENBERGER, Emil",Men,Gold
,"NIELSEN, Anders Peter",Men,Silver
,"STÄHELI, Konrad",Men,Gold
,"KELLENBERGER, Emil",Men,Silver
,"NIELSEN, Anders Peter",Men,Silver
,"ÖSTMO, Ole",Men,Bronze
,"PAROCHE, Achille",Men,Gold
,"NIELSEN, Anders Peter",Men,Silver
,"PAUMIER DU VERGIER, Charles",Men,Bronze
,"MADSEN, Lars Jörgen",Men,Gold
,"ÖSTMO, Ole",Men,Silver
,"CAVADINI, Auguste",Men,Bronze
,"LECOQ, Maurice",Men,Bronze
,"MOREAUX, Léon",Men,Bronze
,"PAROCHE, Achille",Men,Bronze
,"THOMAS, René",Men,Bronze
,"BÖCKLI, Franz",Men,Gold
,"GRÜTER, Alfred",Men,Gold
,"KELLENBERGER, Emil",Men,Gold
,"RICHARDET, Louis-Marc",Men,Gold
,"STÄHELI, Konrad",Men,Gold
,"FRYDENLUND, Olaf Emil",Men,Silver
,"HERMANDSEN, Hellmer",Men,Silver
,"ÖSTMO, Ole",Men,Silver
,"SAETHER, Ole Andreas",Men,Silver
,"SEEBERG, Tom",Men,Silver
,"DE CLARY, Justinien",Men,Bronze
,"DE BARBARIN, Roger",Men,Gold
,"GUYOT, René",Men,Silver
,"DE LA CHAPELLE, Georges",Men,Bronze
,"MAHONY, Harold Sergerson",Men,Bronze
,"NORRIS, Arthur B.J.",Men,Bronze
,"PREVOST, André",Men,Bronze
,"DOHERTY, Hugh Lawrence",Men,Gold
,"DOHERTY, Reginald Frank",Men,Gold
,"DE GARMENDIA, Basil Spalding",Men,Silver
,"DECUGIS, Max",Men,Silver
,"DOHERTY, Hugh Lawrence",Men,Bronze
,"WARDEN, Archibald A.",Men,Bronze
,"DOHERTY, Reginald Frank",Men,Gold
,"MAHONY, Harold Sergerson",Men,Silver
,"JONES, Marion",Women,Bronze
,"ROSENBAUM, Hedwig",Women,Bronze
,"COOPER, Charlotte",Women,Gold
,"PREVOST, Hélène",Women,Silver
,"DOHERTY, Reginald Frank",Men,Bronze
,"NORRIS, Arthur B.J.",Men,Bronze
,"DOHERTY, Hugh Lawrence",Men,Gold
,"MAHONY, Harold Sergerson",Men,Silver
,"JONES, Marion",Women,Bronze
,"ROSENBAUM, Hedwig",Women,Bronze
,"COOPER, Charlotte",Women,Gold
,"PREVOST, Hélène",Women,Silver
