NOME;PAIS_ORIGEM;GENERO;PREPARADOR FISICO;TECNICO;;;;;;;
STÄHELI, Konrad;SUI;Men;;;;;;;;;
DUFFOY, Louis;FRA;Men;;;;;;;;;
LECOQ, Maurice;FRA;Men;;;;;;;;;
PAROCHE, Achille;FRA;Men;;;;;;;;;
TRINITE;FRA;Men;;;;;;;;;
ÖSTMO, Ole;NOR;Men;;;;;;;;;
VAN ASBROECK, Paul;BEL;Men;;;;;;;;;
KELLENBERGER, Emil;SUI;Men;;;;;;;;;
NIELSEN, Anders Peter;DEN;Men;;;;;;;;;
PAUMIER DU VERGIER, Charles;BEL;Men;;;;;;;;;
MADSEN, Lars J??rgen;DEN;Men;;;;;;;;;
CAVADINI, Auguste;FRA;Men;;;;;;;;;
THOMAS, Ren??;FRA;Men;;;;;;;;;
BÖCKLI, Franz;SUI;Men;;;;;;;;;
GRÜTER, Alfred;SUI;Men;;;;;;;;;
FRYDENLUND, Olaf Emil;NOR;Men;;;;;;;;;
HERMANDSEN, Hellmer;NOR;Men;;;;;;;;;
SAETHER, Ole Andreas;NOR;Men;;;;;;;;;
SEEBERG, Tom;NOR;Men;;;;;;;;;
DE CLARY, Justinien;FRA;Men;;;;;;;;;
DE BARBARIN, Roger;FRA;Men;;;;;;;;;
GUYOT, Ren??;FRA;Men;;;;;;;;;
DE LA CHAPELLE, Georges;FRA;Men;;;;;;;;;
MAHONY, Harold Sergerson;GBR;Men;;;;;;;;;
NORRIS, Arthur B.J.;GBR;Men;;;;;;;;;
PREVOST, Andr??;FRA;Men;;;;;;;;;
DOHERTY, Hugh Lawrence;GBR;Men;;;;;;;;;
DOHERTY, Reginald Frank;GBR;Men;;;;;;;;;
